image_name,yolo_mask_AP@50,yolo_mask_AP@75,yolo_mask_AP@95,yolo_mask_AP@50:95,yolo_mask_AR@50,yolo_mask_AR@75,yolo_mask_AR@95,yolo_mask_AR@50:95,segrefiner_mask_AP@50,segrefiner_mask_AP@75,segrefiner_mask_AP@95,segrefiner_mask_AP@50:95,segrefiner_mask_AR@50,segrefiner_mask_AR@75,segrefiner_mask_AR@95,segrefiner_mask_AR@50:95
Cu-Ni-Powder_250x_10_SE_png.rf.cd93ec4589ad8f4e412cb1ec0e805016.jpg,1.0,0.8982898289828983,0.08333333333333333,0.6605410541054106,0.5,0.42727272727272725,-0.10454545454545452,0.27424242424242423,0.6575607560756076,0.46174617461746176,0.36716171617161714,0.49548954895489544,0.3068181818181818,0.16969696969696968,0.04090909090909092,0.17247474747474745
Cu-Ni-Powder_250x_1_SE_V1_png.rf.675fe4943c221bb28cfe029af5482897.jpg,0.6377804608907751,0.35205125443871493,0.0,0.32994390510983007,0.7002502705627706,0.4885574494949495,0.0,0.39626924001924,0.664658234550364,0.45748092684344227,0.07455398326031973,0.39889771488470877,0.7068226911976911,0.5519593253968254,0.1407602813852814,0.46651409932659926
Cu-Ni-Powder_250x_6_SE_V1_png.rf.e53ddff8f68997450136adf624221578.jpg,0.6834541022837707,0.3558932112301571,0.0,0.3464491045046426,0.7964259121370066,0.46732853478944325,0.0,0.42125148230881665,0.6544127582973077,0.4372112275596877,0.055391938650386774,0.3823386415024607,0.751534706709688,0.5388102920493092,0.07934144121783734,0.45656214665894473
HP743_5S_500x_png.rf.9ff406796462449f85c2039537f32d6f.jpg,0.9974762182100564,0.927919682724575,0.1078107810781078,0.677735560670913,0.5,0.453125,-0.15625,0.265625,0.9175472169065648,0.7946919691969196,0.5187411598302688,0.7436601153112511,0.453125,0.359375,0.171875,0.328125
MW_FeMnAl_500_22-11_png.rf.7095906a9fa6befd1eb267219b11b181.jpg,0.8760865116871321,0.5549859780985451,0.0,0.47702416326189234,0.9353329141135696,0.6298667271123071,0.0,0.5217332137419589,0.7827301155670635,0.6603844824353096,0.030779551232912355,0.4912980497450951,0.8084988276470559,0.7138441233676022,0.08476416450963474,0.535702371841431
OMG_Cu_1250_07_png.rf.ff417e92b36bba2bb91175ce144ff6ab.jpg,0.8669353494489235,0.6623512351235125,0.0,0.5097621948574785,0.46886446886446886,0.2891483516483516,-0.25,0.16933760683760682,0.8118969039761118,0.6486248624862487,0.046754675467546754,0.5024254806433025,0.425709706959707,0.2891483516483516,-0.14457417582417584,0.19009462759462759
RHA_00-45_500X07_png.rf.2e24ff0e093484de86e43a21ef7e62cb.jpg,0.9982398239823983,0.9982398239823983,0.4051405140514051,0.8005400540054006,0.5,0.5,0.09285714285714286,0.36428571428571427,0.9982398239823983,0.9982398239823983,0.17491749174917492,0.7237990465713239,0.5,0.5,-0.07857142857142857,0.3071428571428571
Rec-Cu-Ni-Powder_250x_7_SE_V1_png.rf.4c7c94e7a5f2b5ab0a942ce1b6f7193a.jpg,0.6755454404207263,0.33399118719786763,0.0,0.33651220920619795,0.7950851868218196,0.4452810164255149,0.0,0.4134554010824448,0.6797234274102968,0.4571332391261392,0.0016860381690342945,0.3795142349018234,0.7746826502902509,0.5723474247557323,0.021367521367521368,0.45613253213783483
Rec-Cu-Ni-Powder_250x_8_SE_V1_png.rf.cb5407549469443a93d2dc62dd52a6a1.jpg,0.6500032348893676,0.44406185930614683,0.0,0.3646883647318381,0.7463801526957397,0.514964418122408,0.0,0.4204481902727159,0.6266210365597813,0.4661067291965277,0.00020894946637520895,0.36431223840756144,0.6724122627874827,0.5256370177202463,0.005718235515897951,0.40125583867454223
Rec-Cu-Ni-Powder_250x_9_SE_png.rf.2b9d131a9fe115a2fb24f4512af0c9a6.jpg,0.7301980198019802,0.5597434743474348,0.146039603960396,0.47866036603660367,0.7307692307692308,0.5865384615384616,0.14423076923076922,0.4871794871794872,0.14504950495049504,0.10726072607260725,0.0,0.08410341034103411,0.2653846153846154,0.22115384615384615,0.0,0.1621794871794872
S01_03_SE1_500X11_png.rf.4b7fddca6f3354a728be814c4f62d5ae.jpg,0.9223328110121939,0.8407195131277834,0.1581080028187897,0.6403867756529222,0.45211038961038963,0.41314935064935066,-0.07467532467532469,0.26352813852813856,0.954003672426066,0.8407195131277834,0.18769015637827519,0.6608044473107083,0.47159090909090906,0.41314935064935066,-0.046266233766233775,0.279491341991342
S02_01_SE1_1000X16_png.rf.1fab57db91783570e9210e6bcb342f81.jpg,0.9558393339333934,0.9558393339333934,0.17821782178217818,0.6966321632163218,1.0,1.0,0.22023809523809523,0.7400793650793651,0.9558393339333934,0.8201614804337576,0.13514851485148516,0.6370497764062121,1.0,0.8630952380952381,0.19270833333333331,0.6852678571428571
S02_02_SE1_300X18_png.rf.1a16e8c5f4e008cb2fc48c98b35778fb.jpg,0.924832759732285,0.72423543383703,0.0,0.5496893978564383,0.9729047106647537,0.7764974892395983,0.0,0.5831340666347841,0.9324213863948712,0.7697651672370776,0.18730066787136235,0.6298290738344369,0.9398164753706361,0.7947064801530368,0.250535031085605,0.6616859955364259
S02_03_SE1_1000X24_png.rf.61ceee7fe0a4f4ccabd61c1e71524baf.jpg,0.7928684172765103,0.6984916719096658,0.17068264377342712,0.5540142443198678,1.0,0.7395833333333334,0.21217105263157893,0.6505847953216375,0.7928684172765103,0.6984916719096658,0.26297944920542476,0.5847798461305337,1.0,0.7395833333333334,0.28289473684210525,0.6741593567251463
S04_01_SE1_1000X45_png.rf.baa89207016e4da58f6ec0ab4f2b008f.jpg,0.8181762714691562,0.6576000250656578,0.0,0.49192543217827134,0.8748006379585327,0.7094155844155845,0.0,0.5280720741247057,0.8404198803248071,0.7973677601608725,0.2815367675022267,0.6397748026626355,0.8748006379585327,0.8396488380041012,0.36670511506037823,0.6937181970076707
S05_02_SE1_300X59_png.rf.ab223b36432318e07ad4d0e7c1d7dea6.jpg,0.8658727138737644,0.6128635242880675,0.0,0.49291207938727727,0.885211706102117,0.6311566002490661,0.0,0.505456102117061,0.8141022371284432,0.6970817063740226,0.25588104106519316,0.589021661522553,0.8573707970112079,0.7425202366127024,0.3178782689912827,0.6392564342050643
S05_03_SE1_1000X65_png.rf.b1b275b60d329ab4fae1100a32dcfd4e.jpg,1.0,0.8583149981664834,0.18085808580858084,0.6797243613250215,0.5,0.4409722222222222,-0.07291666666666669,0.28935185185185186,1.0,1.0,0.06468646864686468,0.6882288228822883,0.5,0.5,-0.13194444444444445,0.28935185185185186
S07_03_SE1_1250X92_png.rf.03fe49af01d0314c26c63cbf31c6f316.jpg,0.7558803499397558,0.4958711255740959,0.039603960396039604,0.4304518119699638,0.5,0.14204545454545456,-0.1628787878787879,0.15972222222222224,0.7558803499397558,0.6306846069222307,0.21907905076221906,0.5352146692080685,0.5,0.4128787878787879,-0.03219696969696968,0.2935606060606061
Sc1Tile_001-002-000_0-000_png.rf.05bb96317364c2a84f4eb06582dde5e9.jpg,0.3538060866479918,0.026625768284579472,0.0,0.12681061831085708,0.46148539507336117,0.10273141293130525,0.0,0.18807226933488883,0.46226719619384377,0.24750124772938284,0.05841540368911027,0.2560612825374456,0.5225333153856508,0.3567157984475255,0.1292165836586351,0.33615523249727053
TruForm174-2_00-37_500X16_png.rf.17ddf81ab4dd63c5ce6f66654a48c5b4.jpg,0.8069212044868708,0.7341100438277067,0.0,0.5136770827715258,0.9129353233830846,0.7999707345624817,0.0,0.5709686859818555,0.9006010555407076,0.8751016622486526,0.27159352909691165,0.682432082295424,0.9043020193151887,0.8784021071115012,0.3822628936764143,0.7216556733677013
