ID,numPoints,Alg,Buffer,Box,Mask,Model,mean_IOU,source_file
0,1,random,0,False,false,yolov8n,0.8939258541513014,results_0.json
1,1,random,5,False,false,yolov8n,0.8981914583639581,results_1.json
2,1,random,10,False,false,yolov8n,0.8962533028015585,results_2.json
3,1,random,15,False,false,yolov8n,0.8934458011790207,results_3.json
4,1,hill climbing,0,False,false,yolov8n,0.8951719836190172,results_4.json
5,1,hill climbing,5,False,false,yolov8n,0.8934092680136025,results_5.json
6,1,hill climbing,10,False,false,yolov8n,0.8921217500194322,results_6.json
7,1,hill climbing,15,False,false,yolov8n,0.8960277361742486,results_7.json
8,1,voronoi,0,False,false,yolov8n,0.8931243666742514,results_8.json
9,1,voronoi,5,False,false,yolov8n,0.8951958700855377,results_9.json
10,1,voronoi,10,False,false,yolov8n,0.896976712002429,results_10.json
11,1,voronoi,15,False,false,yolov8n,0.896788157331654,results_11.json
12,2,random,0,False,false,yolov8n,0.8962215442202905,results_12.json
13,2,random,5,False,false,yolov8n,0.8995907974952108,results_13.json
14,2,random,10,False,false,yolov8n,0.903599619511905,results_14.json
15,2,random,15,False,false,yolov8n,0.9000145821587017,results_15.json
16,2,hill climbing,0,False,false,yolov8n,0.8694395093509589,results_16.json
17,2,hill climbing,5,False,false,yolov8n,0.8794110550664744,results_17.json
18,2,hill climbing,10,False,false,yolov8n,0.8910533803475926,results_18.json
19,2,hill climbing,15,False,false,yolov8n,0.891972887734976,results_19.json
20,2,voronoi,0,False,false,yolov8n,0.8983152529907643,results_20.json
21,2,voronoi,5,False,false,yolov8n,0.8991800444435224,results_21.json
22,2,voronoi,10,False,false,yolov8n,0.8990178421430359,results_22.json
23,2,voronoi,15,False,false,yolov8n,0.8951767809878085,results_23.json
24,3,random,0,False,false,yolov8n,0.905570054955515,results_24.json
25,3,random,5,False,false,yolov8n,0.9055878319869789,results_25.json
26,3,random,10,False,false,yolov8n,0.9054445364096269,results_26.json
27,3,random,15,False,false,yolov8n,0.9052122534321041,results_27.json
28,3,hill climbing,0,False,false,yolov8n,0.8232591777347243,results_28.json
29,3,hill climbing,5,False,false,yolov8n,0.8676512407223645,results_29.json
30,3,hill climbing,10,False,false,yolov8n,0.8830987209412342,results_30.json
31,3,hill climbing,15,False,false,yolov8n,0.8962525219238856,results_31.json
32,3,voronoi,0,False,false,yolov8n,0.9112521593756604,results_32.json
33,3,voronoi,5,False,false,yolov8n,0.9095916568377413,results_33.json
34,3,voronoi,10,False,false,yolov8n,0.910395401384994,results_34.json
35,3,voronoi,15,False,false,yolov8n,0.9073480730970083,results_35.json
36,4,random,0,False,false,yolov8n,0.9078409790783033,results_36.json
37,4,random,5,False,false,yolov8n,0.9095004343874793,results_37.json
38,4,random,10,False,false,yolov8n,0.9136667559836,results_38.json
39,4,random,15,False,false,yolov8n,0.9162442142628379,results_39.json
40,4,hill climbing,0,False,false,yolov8n,0.807842640783849,results_40.json
41,4,hill climbing,5,False,false,yolov8n,0.8606239396936533,results_41.json
42,4,hill climbing,10,False,false,yolov8n,0.8845221458778972,results_42.json
43,4,hill climbing,15,False,false,yolov8n,0.8945056296537899,results_43.json
44,4,voronoi,0,False,false,yolov8n,0.9129439689772735,results_44.json
45,4,voronoi,5,False,false,yolov8n,0.9153705484904456,results_45.json
46,4,voronoi,10,False,false,yolov8n,0.9142418227177425,results_46.json
47,4,voronoi,15,False,false,yolov8n,0.9168192105715767,results_47.json
48,5,random,0,False,false,yolov8n,0.9131345181066468,results_48.json
49,5,random,5,False,false,yolov8n,0.9177775371737071,results_49.json
50,5,random,10,False,false,yolov8n,0.913762599421666,results_50.json
51,5,random,15,False,false,yolov8n,0.9150355966908161,results_51.json
52,5,hill climbing,0,False,false,yolov8n,0.7883972117764149,results_52.json
53,5,hill climbing,5,False,false,yolov8n,0.8565345549077021,results_53.json
54,5,hill climbing,10,False,false,yolov8n,0.8782122540834237,results_54.json
55,5,hill climbing,15,False,false,yolov8n,0.8977501963843497,results_55.json
56,5,voronoi,0,False,false,yolov8n,0.9133070951892043,results_56.json
57,5,voronoi,5,False,false,yolov8n,0.9160784195793239,results_57.json
58,5,voronoi,10,False,false,yolov8n,0.9147263751388317,results_58.json
59,5,voronoi,15,False,false,yolov8n,0.9168635837985345,results_59.json
60,1,random,0,0.9,false,yolov8n,0.9179013569972749,results_60.json
61,1,random,5,0.9,false,yolov8n,0.9153775337301499,results_61.json
62,1,random,10,0.9,false,yolov8n,0.9165058915653296,results_62.json
63,1,random,15,0.9,false,yolov8n,0.9166779221622386,results_63.json
64,1,hill climbing,0,0.9,false,yolov8n,0.9215349491491883,results_64.json
65,1,hill climbing,5,0.9,false,yolov8n,0.9175832472036319,results_65.json
