ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,sam_mask_AP@50,sam_mask_AP@75,sam_mask_AP@95,sam_mask_AP@50:95,sam_mask_AR@50,sam_mask_AR@75,sam_mask_AR@95,sam_mask_AR@50:95,ModelCategory
33,YOLOv8 Nano,True,True,1,Random,15%,100%,110%,0.8675380279355638,0.7755766901769381,0.43341891060206006,0.6921778762381874,0.7311676343115756,0.6594986839821171,0.31228339608132744,0.5676499047916733,YOLOv8n
34,YOLOv8 Nano,True,True,1,Random,15%,110%,90%,0.8541588673251427,0.7574295582548605,0.37376663779938923,0.6617850211264641,0.7506210077602035,0.6759799153155985,0.2942804847982489,0.5736271359580171,YOLOv8n
35,YOLOv8 Nano,True,True,1,Random,15%,110%,100%,0.8538288104362102,0.7525701784151723,0.38496406785604637,0.6637876855691429,0.7653928041459901,0.6841875002666093,0.3145492355755763,0.5880431799960586,YOLOv8n
36,YOLOv8 Nano,True,True,1,Random,15%,110%,110%,0.8570182152935362,0.7538445164810125,0.39050129837690334,0.6671213433838173,0.7629316421483203,0.6803857946507704,0.3095493161163356,0.5842889176384755,YOLOv8n
37,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,90%,0.8570820808790655,0.771769857025041,0.4147943742790873,0.6812154373943978,0.7635577654240362,0.6967742738593872,0.33489010039276945,0.5984073798920643,YOLOv8n
38,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,100%,0.8688339528180347,0.7822384407639985,0.4434357544014337,0.6981693826611556,0.7604966650958295,0.6912414604211446,0.3496233817607154,0.6004538357592298,YOLOv8n
39,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,110%,0.8733321903220591,0.7862111335759355,0.4485551403899904,0.702699488095995,0.7574453498546335,0.6880212826205871,0.3469372556525978,0.5974679627092728,YOLOv8n
40,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,90%,0.8668953539001224,0.7773513280788136,0.4241136934712728,0.6894534584834029,0.75365669211588,0.6820890920439611,0.32351351575969106,0.5864197666398441,YOLOv8n
41,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,100%,0.8656027251067294,0.7844144920176357,0.42776299206287915,0.6925934030624147,0.7694784822965138,0.7039191331770506,0.34020189382285665,0.6045331697654738,YOLOv8n
42,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,110%,0.8626686497993452,0.7734283420188579,0.42139300780576355,0.6858299998746554,0.7569100606230132,0.6851760729090606,0.3278238349189083,0.5899699894836608,YOLOv8n
43,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,90%,0.8823401264817794,0.8008671301405489,0.44517076699013863,0.7094593412041558,0.7467178105020718,0.6886357665930645,0.3329957580593749,0.5894497783848371,YOLOv8n
44,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,100%,0.8558124438689212,0.7635200780128855,0.39752193204500674,0.6722848179756047,0.7523519516654179,0.6817799559749399,0.3083275283148711,0.5808198119850763,YOLOv8n
45,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,110%,0.882898192229804,0.8010172844184721,0.42962990912255883,0.7045151285902783,0.7532489569189129,0.6920401327489941,0.3224788042301446,0.5892559646326839,YOLOv8n
46,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,90%,0.8809523738292677,0.7942311806255905,0.4549648739256739,0.710049476126844,0.7599707523417001,0.6911162532256997,0.3525826875441899,0.6012232310371965,YOLOv8n
47,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,100%,0.872967703130284,0.7876874317659295,0.46728827324620426,0.7093144693808058,0.7661320673102436,0.6951226962876517,0.3750121972442888,0.6120889869473947,YOLOv8n
48,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,110%,0.8676959675892824,0.7738401892092546,0.41309818136667587,0.6848781127217376,0.7686215797628644,0.6931130829541999,0.3321902345576328,0.5979749657582324,YOLOv8n
49,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,90%,0.8634276462086646,0.7735381914484178,0.42139300780576355,0.686119615154282,0.7571959723988081,0.6853540280427967,0.3278238349189083,0.5901246117868377,YOLOv8n
50,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,100%,0.8752477574880986,0.7930090103362741,0.4290034271900698,0.6990867316714808,0.7489858967030459,0.684542025285394,0.3184279047789732,0.5839852755891377,YOLOv8n
51,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,110%,0.8558008320316435,0.7549585126081105,0.40600376691142265,0.6722543705170588,0.7544232579833893,0.6743089324417637,0.31246678652133536,0.5803996589821627,YOLOv8n
52,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,90%,0.8476657228936346,0.7588216753270289,0.4033181849994621,0.6699351944067087,0.7555856278427566,0.6863290630416843,0.32118124786951796,0.5876986462513196,YOLOv8n
53,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,100%,0.8554499798448896,0.7628859861480976,0.3977381592461887,0.6720247084130587,0.752073881181868,0.6810681203538365,0.3085210660958371,0.5805543558771806,YOLOv8n
54,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,110%,0.8554499798448896,0.7628859861480976,0.3977381592461887,0.6720247084130587,0.752073881181868,0.6810681203538365,0.3085210660958371,0.5805543558771806,YOLOv8n
55,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,90%,0.8863028846142104,0.7990908419193903,0.4631504300651838,0.7161813855329281,0.7565872888840173,0.6877102207031421,0.35264073895868125,0.5989794161819469,YOLOv8n
56,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,100%,0.8653256139729805,0.7719088203059442,0.4269924070348739,0.6880756137712662,0.7762170399534023,0.7013068004433102,0.35057381386530373,0.6093658847540054,YOLOv8n
57,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,110%,0.8711462419652005,0.7824002879815162,0.44345272152276805,0.6989997504898281,0.7624061879557323,0.6912414604211446,0.35000940888632426,0.6012190190877338,YOLOv8n
58,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,90%,0.8597602503831546,0.759591599792343,0.42026280503220076,0.6798715517358994,0.7302177471097867,0.6500756847411131,0.3125041987992431,0.564265876883381,YOLOv8n
59,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,100%,0.8676942974888796,0.7771908214031044,0.4240121336945232,0.6896324175288356,0.7539576518798746,0.6819754534733729,0.3233097917797268,0.5864142990443247,YOLOv8n
60,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,110%,0.8575528135447544,0.76354714575732,0.43739527836334513,0.6861650792218065,0.7340704549878416,0.6590238874799422,0.32695256670274986,0.5733489697235111,YOLOv8n
61,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,90%,0.8565852838382595,0.7626118701974123,0.3957371192927255,0.6716447577761325,0.7526378634412129,0.6807879499361278,0.3064275684953907,0.5799511272909105,YOLOv8n
62,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,100%,0.8565852838382595,0.7626118701974123,0.3957371192927255,0.6716447577761325,0.7526378634412129,0.6807879499361278,0.3064275684953907,0.5799511272909105,YOLOv8n
63,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,110%,0.8565852838382595,0.7626118701974123,0.3957371192927255,0.6716447577761325,0.7526378634412129,0.6807879499361278,0.3064275684953907,0.5799511272909105,YOLOv8n
64,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,90%,0.8739992302535508,0.7790072530828811,0.45424565024281055,0.7024173778597474,0.7383542895324658,0.6625048511698066,0.34801085589536673,0.5829566655325463,YOLOv8n
65,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,100%,0.8689336356329806,0.7785182666426973,0.42616754909483334,0.6912064837901704,0.773736148029703,0.7010710760995087,0.34526218021829386,0.6066898014491685,YOLOv8n
66,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,110%,0.8711462419652005,0.7824002879815162,0.4412836754033379,0.698276735116685,0.7624061879557323,0.6912414604211446,0.34861762909214,0.6007550924896723,YOLOv8n
67,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,90%,0.8623645572985776,0.7729560735164419,0.4212763111570254,0.6855323139906816,0.7561229382100773,0.6848974973995242,0.3276881802766063,0.5895695386287358,YOLOv8n
68,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,100%,0.8623645572985776,0.7729560735164419,0.4212763111570254,0.6855323139906816,0.7561229382100773,0.6848974973995242,0.3276881802766063,0.5895695386287358,YOLOv8n
69,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,110%,0.8604853088688403,0.7713228888107914,0.43675273567085743,0.6895203111168297,0.7455111692984887,0.6749568840376587,0.3350757770073294,0.5851812767811589,YOLOv8n
70,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,90%,0.8562228198142279,0.7626118701974123,0.3949717792739217,0.6712688230951873,0.7523597929576629,0.6807879499361278,0.3058507135547917,0.5796661521495274,YOLOv8n
71,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,100%,0.8562228198142279,0.7626118701974123,0.3949717792739217,0.6712688230951873,0.7523597929576629,0.6807879499361278,0.3058507135547917,0.5796661521495274,YOLOv8n
72,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,110%,0.8585800258310129,0.7665160144695293,0.40031893785949424,0.6751383260533456,0.7656418873238556,0.692595768672798,0.3213500334069577,0.5931958964678705,YOLOv8n
73,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,90%,0.8736559867647654,0.7833425993852573,0.44654945287321235,0.7011826796744116,0.7571739879349226,0.6865144550340795,0.3445185494912062,0.596068997486736,YOLOv8n
74,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,100%,0.8628916143678693,0.7746743985333723,0.42203565041849495,0.6865338877732454,0.77503445836369,0.7035986924242499,0.3465395978380139,0.6083909162086512,YOLOv8n
75,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,110%,0.8691559100330342,0.779266217072527,0.4413938919295635,0.6966053396783748,0.7602514916511037,0.6895950709818177,0.3470233694576353,0.5989566440301856,YOLOv8n
76,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,90%,0.8628636239576085,0.7709109578795337,0.42364412203435337,0.6858062346238317,0.7570175122390855,0.684024757119587,0.329388085088706,0.5901434514824595,YOLOv8n
77,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,100%,0.8626675865486902,0.7703613310052544,0.4238716553941937,0.6856335243160461,0.7569100606230132,0.6832997904741531,0.3305394008781797,0.5902497506584486,YOLOv8n
78,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,110%,0.8624487183040254,0.7728437656133854,0.4235294161914599,0.6862739667029569,0.756802609006941,0.6846238250652631,0.329388085088706,0.59027150638697,YOLOv8n
79,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,90%,0.8547979956277896,0.7497887553620848,0.39359325680652846,0.6660600025988012,0.7517879694060732,0.6681035142812568,0.3062868451348909,0.5753927762740736,YOLOv8n
80,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,100%,0.8555820666913586,0.7627251034230375,0.3936234210080312,0.6706435303741425,0.7529392851955469,0.6809839807858558,0.3062868451348909,0.5800700370387645,YOLOv8n
81,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,110%,0.8546071823135412,0.7631515674267075,0.3933825883788898,0.6703804460397129,0.7510482905069906,0.6812848823250867,0.3052279033402461,0.5791870253907744,YOLOv8n
82,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,90%,0.8693230776220073,0.7792510111525927,0.44156836757374734,0.6967141521161158,0.7602412782054383,0.6891924591846008,0.3472873529692072,0.5989070301197488,YOLOv8n
83,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,100%,0.8708540077318766,0.7821146333894717,0.4415883142461906,0.6981856517891796,0.762178664344588,0.691026557189,0.3474453514576851,0.6002168576637577,YOLOv8n
84,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,110%,0.8702962639911295,0.7797614251895988,0.44147287613531494,0.6971768551053477,0.7611348001711866,0.6899826930155986,0.34743273107868544,0.5995167414218235,YOLOv8n
85,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,90%,0.8618227008044897,0.7735381914484178,0.42139300780576355,0.6855846333528904,0.7558219488130389,0.6853540280427967,0.3278238349189083,0.5896666039249145,YOLOv8n
86,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,100%,0.863161822615166,0.7731552373224188,0.4217246217695679,0.6860138939023842,0.7569810691666634,0.684961169676916,0.32818298111233307,0.5900417399853042,YOLOv8n
87,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,110%,0.8635151649669963,0.7733704534978022,0.42827576235290354,0.6883871269392341,0.7571959723988081,0.6852465764267244,0.33182907168276576,0.5914238735027662,YOLOv8n
88,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,90%,0.8569142376402024,0.7651147792159734,0.3977530985289178,0.6732607051283648,0.7535032674548916,0.681930298182593,0.30857922289222356,0.5813375961765694,YOLOv8n
89,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,100%,0.8557002575041921,0.7633787010208193,0.3975223244971586,0.6722004276740567,0.7521370484332733,0.6815650527427952,0.3083275283148711,0.5806765431636466,YOLOv8n
90,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,110%,0.8567626803728171,0.7654116710390606,0.39786224107511625,0.6733455308289981,0.753610719070964,0.6822063051189797,0.30954836555122067,0.5817884632470548,YOLOv8n
91,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,90%,0.8709579764661066,0.78229669080557,0.4436459113455741,0.6989668595390837,0.7622861159606604,0.6912414604211446,0.3498713670431044,0.6011329811416364,YOLOv8n
92,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,100%,0.8709579764661066,0.7819505745702207,0.44391851659063936,0.6989423558756556,0.7622861159606604,0.6909191055729277,0.35022290331254835,0.6011427082820455,YOLOv8n
93,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,110%,0.8710502430996059,0.7816040870295183,0.44346085736652113,0.6987050624985485,0.7623935675767327,0.6904662163535827,0.3498355540928938,0.6008984460077365,YOLOv8n
94,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,90%,0.8634276462086646,0.7700426971980501,0.4212965260178514,0.6849222898081886,0.7571959723988081,0.6838093488614557,0.3276302971379423,0.5895452061327354,YOLOv8n
95,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,100%,0.8634276462086646,0.7702292605409338,0.4214493791171464,0.6850354286222482,0.7571959723988081,0.683588179445782,0.3280017900526443,0.5895953139657448,YOLOv8n
96,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,110%,0.8637420188549865,0.7730329962656965,0.42108163407921645,0.6859522163999665,0.7573895101797741,0.6847365130134351,0.3273786025605898,0.5898348752512663,YOLOv8n
97,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,90%,0.8559085690029329,0.7632376810585217,0.3919963272331538,0.6703808590982029,0.7522445000493456,0.6818687260159988,0.3044792593102394,0.5795308284585279,YOLOv8n
98,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,100%,0.8555885936223451,0.7627069861507222,0.3922001174642523,0.6701652324124399,0.7521370484332733,0.6811824509908222,0.30479286908627745,0.5793707895034576,YOLOv8n
99,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,110%,0.8568614112734727,0.7627413067510979,0.3918932577492499,0.6704986585912736,0.7535111087471366,0.6817614485730402,0.3034480155158377,0.5795735242786716,YOLOv8n
100,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,90%,0.8712009089477997,0.7833399024341564,0.44186882840291364,0.6988032132616233,0.7624370331805248,0.6921541356316507,0.3507776349515402,0.6017896012545719,YOLOv8n
101,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,100%,0.8711462419652005,0.7820700480733033,0.4412836754033379,0.6981666551472806,0.7624061879557323,0.691026557189,0.34861762909214,0.6006834580789574,YOLOv8n
102,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,110%,0.8707232759648204,0.7817090304129527,0.4408316363973202,0.6977546475916978,0.762178664344588,0.6903437749740744,0.3482338472432186,0.600252095520627,YOLOv8n
103,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,90%,0.8637923301540585,0.7666286266929709,0.421414803770818,0.6839452535392825,0.7573895101797741,0.6824146269904439,0.3277377487540146,0.5891806286414109,YOLOv8n
104,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,100%,0.8639456086163507,0.7729548396961747,0.4213207044442539,0.6860737175855932,0.7574969617958465,0.6847900457834519,0.3275102251428703,0.5899324109073897,YOLOv8n
105,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,110%,0.8630630359792522,0.770169362465669,0.4284330529207626,0.6872218171218946,0.7562381943903005,0.6835312783779058,0.3323802514037208,0.5907165747239758,YOLOv8n
106,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,90%,0.8568302245750854,0.7630533371547326,0.391038616394032,0.6703073927079499,0.7517688544222201,0.6801548269701767,0.30282455436606076,0.5782494119194859,YOLOv8n
107,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,100%,0.8566765545125673,0.7622632919269077,0.3918882610169458,0.6702760358188068,0.7529201702116938,0.6800745700211767,0.3045877807181029,0.5791941736503243,YOLOv8n
108,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,110%,0.8558905629200699,0.7621087704384103,0.3912941206165116,0.6697644846583306,0.7517688544222201,0.680262278586249,0.30307624894341323,0.5783691273172941,YOLOv8n
109,YOLOv8 Nano,True,True,2,Random,0%,90%,90%,0.864344246979045,0.7677884462662391,0.42200852857343374,0.6847137406062392,0.7584927707139192,0.6841263651422709,0.33151410834303596,0.5913777480664086,YOLOv8n
110,YOLOv8 Nano,True,True,2,Random,0%,90%,100%,0.8704048853099738,0.7789657372802605,0.42132894399053333,0.6902331888602559,0.7608191294943099,0.6877588122242537,0.33015428864291874,0.5929107434538274,YOLOv8n
111,YOLOv8 Nano,True,True,2,Random,0%,90%,110%,0.867108609104579,0.7690603850525759,0.42207313398679924,0.6860807093813179,0.7581713073241486,0.6835997162456311,0.33100711019111234,0.5909260445869641,YOLOv8n
112,YOLOv8 Nano,True,True,2,Random,0%,100%,90%,0.8568665241428258,0.7556748585873134,0.4064126821286176,0.6729846882862522,0.7522557376544259,0.6654395207179309,0.3137277928571879,0.5771410170765148,YOLOv8n
113,YOLOv8 Nano,True,True,2,Random,0%,100%,100%,0.8519183567679425,0.7428247642013985,0.3989584088410047,0.6645671766034484,0.7486306318316581,0.6591416196083026,0.30612709834498447,0.5712997832616483,YOLOv8n
114,YOLOv8 Nano,True,True,2,Random,0%,100%,110%,0.8573555628632189,0.7472957447570937,0.4079736649036202,0.670874990841311,0.7539144526394977,0.6621007666714154,0.31534653878118146,0.5771205860306983,YOLOv8n
115,YOLOv8 Nano,True,True,2,Random,0%,110%,90%,0.8379415902245084,0.7435808278064527,0.3675888665186729,0.6497037615165447,0.7361830021835905,0.659394826295571,0.2832519620621241,0.5596099301804285,YOLOv8n
116,YOLOv8 Nano,True,True,2,Random,0%,110%,100%,0.8415521643010517,0.7203945757733792,0.3623915810141233,0.6414461070295182,0.7443903277180206,0.6347920120364566,0.2778584365520387,0.5523469254355055,YOLOv8n
117,YOLOv8 Nano,True,True,2,Random,0%,110%,110%,0.8261483563018805,0.7231432598700923,0.3652698058186173,0.6381871406635301,0.7377684168246087,0.6509494511637683,0.2795954210841016,0.5561044296908262,YOLOv8n
118,YOLOv8 Nano,True,True,2,Random,5%,90%,90%,0.8683818620561421,0.7764687744365552,0.4278436325796181,0.6908980896907718,0.7599299789452552,0.6888193878607206,0.3333013299660359,0.5940168989240039,YOLOv8n
119,YOLOv8 Nano,True,True,2,Random,5%,90%,100%,0.8679145093382484,0.7802366232651946,0.42208497193045486,0.6900787015112992,0.7587085700085899,0.6898072440877643,0.3295374040836706,0.5926844060600083,YOLOv8n
120,YOLOv8 Nano,True,True,2,Random,5%,90%,110%,0.8685915279638786,0.7774524394844534,0.42643772662695045,0.6908272313584275,0.759830478843029,0.6882578464305216,0.3323941613355675,0.5934941622030394,YOLOv8n
