Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95
YOLOv8 Nano,0.8094660395478709,0.688714500093884,0.18806846091074433,0.5620830001841665,0.6846253693338423,0.588625060346506,0.11852732098004852,0.46392591688679896
YOLOv8 X-Large,0.791399805612507,0.6897531610841062,0.1842663587266459,0.5551397751410865,0.6701805688218212,0.5975117476083329,0.11778443311597334,0.4618255831820425
Mask R-CNN,0.7107989691055436,0.602427456199536,0.19778353848281865,0.5036699879292995,0.5876233794717991,0.5024293508654355,0.13073689508224956,0.40692987513982815
