Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,maxDets
YOLOv8 Nano,0.837265374527408,0.6693029727488868,0.08061567800956997,0.529061341761955,0.7203108790971154,0.5663911871348405,-0.003533334177333723,0.42772291068487406,200.0
YOLOv8 X-Large,0.8357054049566786,0.6802034658027168,0.09155665913754532,0.5358218432989802,0.7087877240162925,0.5655575181611171,0.019954720988297647,0.43143332105523574,200.0
Mask R-CNN,0.6875821264333047,0.5598813911451147,0.1061336896782803,0.4511990690855666,0.560403475406468,0.4557092005493889,0.04042619709350489,0.3521796243497872,200.0
