Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95
YOLOv8 Nano,0.8449800142103812,0.7528573031596385,0.3781385581551783,0.6586586251750659,0.7344882163257298,0.659346006926131,0.2869974598218638,0.5602772276912417
YOLOv8 X-Large,0.8446080822006685,0.7587386833576348,0.387035652047718,0.663460805868674,0.7230498908308992,0.6611828369401214,0.30064325083792715,0.5616253262029827
Mask R-CNN,0.7253727259092603,0.6304868295619358,0.32453146662395393,0.5601303406983834,0.594274289105308,0.5223271298860047,0.2510967039616691,0.45589937431766064
Mask2Former,0.6673212630451079,0.58052313236509,0.23870702338463978,0.49551713959827925,0.5978045893360545,0.5373524456798485,0.21762587564594416,0.45092763688728243
