Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,refined_box_AP@50,refined_box_AP@75,refined_box_AP@95,refined_box_AP@50:95,refined_box_AR@50,refined_box_AR@75,refined_box_AR@95,refined_box_AR@50:95
YOLOv8 Nano,0.8077861914734183,0.696467669377427,0.18434698089807056,0.5628669472496387,0.6947926444972897,0.5996312837615955,0.12520090176238566,0.4732082766737569,0.6418300526449385,0.5182773520324169,0.16407959701518937,0.4413956672308484,0.5696163296114469,0.4679795873846195,0.1331062105819712,0.39023404252601257
YOLOv8 X-Large,0.8104822101178193,0.6864540247044774,0.18596611698110366,0.5609674506011334,0.6831096619618362,0.5957134024993812,0.12142235482832893,0.4667484730965155,0.6789929996185071,0.5472781854093342,0.16481238465500986,0.4636945232276171,0.5727351384049115,0.4677877763070331,0.12502473922230306,0.38851588464474923
Mask R-CNN,0.6898653906445531,0.6049913630435293,0.2055731582585103,0.5001433039821975,0.5745113259436396,0.5046838125804362,0.1395032939951505,0.40623281083974205,0.5830822253425958,0.46749927957407567,0.18238549919741817,0.4109890013713632,0.48490559171060543,0.3932144364040067,0.13492826676497544,0.33768276495986255
Mask2Former,0.629995092804309,0.48705638482123603,0.11763808528098821,0.4115631876355111,0.574895917250198,0.46926470510263174,0.08523181285865862,0.37646414507049614,0.4807444838956991,0.34225612901804664,0.11366581406529486,0.3122221423263468,0.44075686595442354,0.3294070360939315,0.10657383481111844,0.2922459122864912
