Run_Name,refined_box_AP@50,refined_box_AP@50:95,refined_box_AP@75,refined_box_AP@95,refined_box_AR@50,refined_box_AR@50:95,refined_box_AR@75,refined_box_AR@95,refined_mask_AP@50,refined_mask_AP@50:95,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AR@50,refined_mask_AR@50:95,refined_mask_AR@75,refined_mask_AR@95
YOLOv8 Nano,0.8848466938346571,0.7395839224590433,0.803419937312736,0.5304851362297371,0.7609503037547111,0.6432979401500765,0.7035209401050297,0.4654225765904889,0.8812361700906676,0.7154238890208069,0.8058981357047068,0.45913736126704635,0.7623878216314564,0.6104330338039434,0.6998845999600377,0.36902667982033577
YOLOv8 XL,0.8859620906072097,0.7496523428148277,0.8147073327305616,0.5482876051067122,0.7523838332083798,0.642976150238675,0.7019001578504854,0.4746444596571601,0.8774776437318014,0.7211121223928936,0.8101679132088421,0.475690810238037,0.7473849753842726,0.609371768940953,0.6943068789665784,0.3864234524720082
Mask R-CNN,0.7688172061772438,0.6649565501226227,0.6977233510442907,0.5283290931463338,0.6287639207705439,0.5493187869123097,0.5781813610949167,0.4410110788714687,0.7787834466707346,0.6536890679983802,0.7130342284576401,0.46924952886676613,0.634807129398954,0.532336350797115,0.5848901636776888,0.37731175931470173
Mask2Former,0.6387704580129756,0.5161926991185227,0.5411368692291023,0.3686707701134901,0.6024719130160341,0.5003368005158675,0.5298160922718758,0.3687223962596928,0.6548210896614062,0.5051801796133447,0.5497106482795779,0.31100880089905003,0.6123929064512468,0.4888545336486437,0.5420395243882934,0.3121311701063909
