Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,refined_box_AP@50,refined_box_AP@75,refined_box_AP@95,refined_box_AP@50:95,refined_box_AR@50,refined_box_AR@75,refined_box_AR@95,refined_box_AR@50:95
YOLOv8 Nano,0.8344036361126324,0.7266546289721446,0.34551087743242437,0.6355230475057339,0.7034876352061915,0.6173699573885323,0.2478783083614624,0.5229119669853953,0.8304580121090335,0.7260810502457639,0.3488184713488508,0.635119177901216,0.6909798972383796,0.6089150302202997,0.28923295318012243,0.5297092935462673
YOLOv8 X-Large,0.8329384643967687,0.7374565049293704,0.35226757961542504,0.6408875163138547,0.6932760444573224,0.6278111131774211,0.2609903106677526,0.527359156100832,0.8165891762226005,0.7142212606955662,0.34193694977394595,0.6242491288973708,0.6732224145405802,0.5994737156554248,0.2899930038701606,0.5208963780220552
Mask R-CNN,0.7291498634447824,0.6434227707342768,0.3030936933500297,0.5585554425096964,0.6045841203395314,0.5350624288299448,0.22841086715017322,0.4560191387732164,0.7360053949154308,0.6494035231595228,0.334336117702376,0.57324834525911,0.5919852307585559,0.5302256064606647,0.2693888815442194,0.4638665729211467
Mask2Former,0.6626450592904266,0.571786895379409,0.2356780709767615,0.4900366752155323,0.5872278659850243,0.5254088538419134,0.20218436527717568,0.4382736950347044,0.6224823415919505,0.5158151684043686,0.2246760706099903,0.4543245268687698,0.5692564085652339,0.493488810240867,0.2196382547043787,0.42746115783682653
