Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,refined_box_AP@50,refined_box_AP@75,refined_box_AP@95,refined_box_AP@50:95,refined_box_AR@50,refined_box_AR@75,refined_box_AR@95,refined_box_AR@50:95
YOLOv8 Nano,0.8449800142103812,0.7528573031596385,0.3781385581551783,0.6586586251750659,0.7344882163257298,0.659346006926131,0.2869974598218638,0.5602772276912417,0.8537986648742472,0.780881963131863,0.37757015940250527,0.6707502624695384,0.7319832792380385,0.6752309056180403,0.3137251219949966,0.5736464356170251
YOLOv8 X-Large,0.8446080822006685,0.7587386833576348,0.387035652047718,0.663460805868674,0.7230498908308992,0.6611828369401214,0.30064325083792715,0.5616253262029827,0.86109691002993,0.7945243573180253,0.38274800297007244,0.6794564234393425,0.7245037468694322,0.6729059461018414,0.3246748934088482,0.5740281954600406
Mask R-CNN,0.7253727259092603,0.6304868295619358,0.32453146662395393,0.5601303406983834,0.594274289105308,0.5223271298860047,0.2510967039616691,0.45589937431766064,0.741495074734221,0.6461568427874189,0.3649339148224574,0.5841952774480326,0.6041756563989943,0.535113256975369,0.29140397923994227,0.4768976308714352
Mask2Former,0.6673212630451079,0.58052313236509,0.23870702338463978,0.49551713959827925,0.5978045893360545,0.5373524456798485,0.21762587564594416,0.45092763688728243,0.6544893630806764,0.5386751121863642,0.28126126836123017,0.4914752478760902,0.5889088083445645,0.5125669691873205,0.27599739484038016,0.45915772412408834
