Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,refined_mask_maxDets,refined_box_AP@50,refined_box_AP@75,refined_box_AP@95,refined_box_AP@50:95,refined_box_AR@50,refined_box_AR@75,refined_box_AR@95,refined_box_AR@50:95,refined_box_maxDets
YOLOv8 Nano,0.837265374527408,0.6693029727488868,0.08061567800956997,0.529061341761955,0.7203108790971154,0.5663911871348405,-0.003533334177333723,0.42772291068487406,200.0,0.8689979074586928,0.7082532901273503,0.09577237904713687,0.5576745255443931,0.744914725703688,0.6075241698040469,0.02812200691532838,0.46018696747435434,200.0
YOLOv8 X-Large,0.8352221259202962,0.6841479053832018,0.09637543067110034,0.5385818206581995,0.6998341596779567,0.560535505518364,0.021004969461365944,0.42712487821922873,200.0,0.85905164543445,0.7300469405118059,0.09007006151637095,0.5597228824875423,0.7108652422444589,0.6022716472770689,0.03793211078972827,0.45035633343708537,200.0
Mask R-CNN,0.6875821264333047,0.5598813911451147,0.1061336896782803,0.4511990690855666,0.560403475406468,0.4557092005493889,0.04042619709350489,0.3521796243497872,200.0,0.7283596112274212,0.6171111474400932,0.19044351037940513,0.5119714230156399,0.593202631219019,0.507925543187157,0.14430776341972168,0.4151453126086325,200.0
Mask2Former,0.6336449450599051,0.5110809217301292,0.12287598166812516,0.4225339494860532,0.5974151145198405,0.5019462808317469,0.08840860474718684,0.39592333336625807,200.0,0.6289971316375802,0.45974945165604486,0.15525081451672074,0.41466579927011527,0.5991592386296626,0.4534139203891526,0.12859465650305194,0.3937226051739557,200.0
