Run_Name,refined_mask_AP@50,refined_mask_AP@75,refined_mask_AP@95,refined_mask_AP@50:95,refined_mask_AR@50,refined_mask_AR@75,refined_mask_AR@95,refined_mask_AR@50:95,refined_box_AP@50,refined_box_AP@75,refined_box_AP@95,refined_box_AP@50:95,refined_box_AR@50,refined_box_AR@75,refined_box_AR@95,refined_box_AR@50:95
YOLOv8 Nano,0.8812361700906676,0.8055107865658112,0.45910526819649194,0.7152840749509903,0.7623878216314564,0.6993745365467484,0.3688487246865998,0.6102036942882683,0.8848176720018694,0.803419937312736,0.5304851362297371,0.7395742485147807,0.7609503037547111,0.7035209401050297,0.4654225765904889,0.6432979401500765
YOLOv8 XL,0.8774776437318014,0.8101679132088421,0.475690810238037,0.7211121223928936,0.7473849753842726,0.6943068789665784,0.3864234524720082,0.609371768940953,0.8859620906072097,0.8147073327305616,0.5482876051067122,0.7496523428148277,0.7523838332083798,0.7019001578504854,0.4746444596571601,0.642976150238675
Mask R-CNN,0.7787834466707346,0.7130342284576401,0.46924952886676613,0.6536890679983802,0.634807129398954,0.5848901636776888,0.37731175931470173,0.532336350797115,0.7688172061772438,0.6977233510442907,0.5284386458925089,0.664993067704681,0.6287639207705439,0.5781813610949167,0.44113115086654064,0.5493588109106671
Mask2Former,0.6548393756626227,0.5497452377359661,0.3131623576987148,0.5059156570324345,0.6123929064512468,0.5420395243882934,0.3143427085679294,0.48959171313582317,0.6381633390709789,0.5411874117199584,0.3686595886150374,0.5160034464686583,0.6021432919842881,0.5298160922718758,0.3687223962596928,0.5002272601719522
